event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IRN29333,2024-11-06,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Yazd,Yazd,Central,Yazd,31.8972,54.3675,1,Free Union of Iranian Workers; Human Rights Activists in Iran (HRA),Local partner-Other,"On 6 November 2024, health workers and nurses staged a rally outside the Sadoughi Hospital in Yazd city (Yazd) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29334,2024-11-06,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Fars,Shiraz,Central,Shiraz,29.6103,52.5311,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 6 November 2024, health workers and nurses staged a rally outside the School of Medical Sciences in Shiraz city (Fars) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29335,2024-11-06,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Hamadan,Asadabad,Central,Asadabad,34.7824,48.1201,1,Eteraze Bazar; Human Rights Activists in Iran (HRA),Local partner-Other,"On 6 November 2024, health workers and nurses staged a rally outside the Qem Hospital in Asadabad city (Hamadan) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29377,2024-11-06,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Afghanistan),Refugees/IDPs (Afghanistan),Protesters,,,,Protesters only,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 6,35.7252,51.4029,1,BBC News,International,"On 6 November 2024, Afghan applicants (likely refugees) for German visas rallied in front of the Consulate General of Germany in Tehran - District 6 (Tehran) to demand expediting the processing of visa applications.",0,crowd size=no report,1731368109
IRN29483,2024-11-06,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),,Protesters,,,,Protesters only,,364,Middle East,Iran,Qom,Qom,Central,Qom,34.6401,50.8764,1,Eteraze Bazar; Human Rights Activists in Iran (HRA),Local partner-Other,"On 6 November 2024, people with disabilities rallied outside the provincial governor's office in Qom city (Qom) over the non-implementation of Article 27 in the Law on the Protection of the Disabled.",0,crowd size=no report,1731368109
IRN29318,2024-11-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Farmers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Zanjan,Zanjan,Central,Zanjan,36.6764,48.4963,1,Human Rights Activists in Iran (HRA); Iranian Labour News Agency,Local partner-Other,"On 5 November 2024, livestock farmers held a protest outside the provincial govenor's office in Zanjan city (Zanjan) over the closure of the Zanjan Municipal Cattle Market.",0,crowd size=no report,1731368108
IRN29330,2024-11-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Yazd,Yazd,Central,Yazd,31.8972,54.3675,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 5 November 2024, health workers and nurses staged a rally outside the Sadoughi Hospital in Yazd city (Yazd) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29331,2024-11-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Fars,Shiraz,Central,Shiraz,29.6103,52.5311,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 5 November 2024, health workers and nurses at the laboratory and radiology staged a rally outside the School of Medical Sciences in Shiraz city (Fars) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29336,2024-11-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Ilam,Ilam,Central,Ilam,33.6374,46.4227,1,Eteraze Bazar; Human Rights Activists in Iran (HRA),Local partner-Other,"On 5 November 2024, health workers and nurses staged a rally outside the Emam Hospital in Ilam city (Ilam) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29369,2024-11-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Bushehr,Asaluyeh,Central,Bandar e Asaluyeh,27.4761,52.6074,1,Human Rights Activists in Iran (HRA); VOA,Local partner-Other,"On 5 November 2024, workers in the third refinery at the Pars Special Economic Energy Zone protested outside their working place in Bandar e Asaluyeh city (Bushehr) to demand the determination of the salary ceiling, the accountability of the responsible officials, the removal of incompetent managers, the removal of the limitation of retirement years, the full implementation of Article 10 and the payment of their salary arrears.",0,crowd size=no report,1731368109
IRN29370,2024-11-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Khuzestan,Ahvaz,Central,Ahvaz,31.3190,48.6842,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 5 November 2024, workers at the Arvandan Oil and Gas Company protested outside their working place in Ahvaz city (Khuzestan) over the reduction in the amount of the distance dimension.",0,crowd size=no report,1731368109
IRN29371,2024-11-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 3,35.7661,51.4261,1,Eteraze Bazar; Human Rights Activists in Iran (HRA),Local partner-Other,"On 5 November 2024, Bank employees held a protest in front of the Central Bank in Tehran - District 3 (Tehran) over the low salaries, appointments outside the framework and structural changes in the bank.",0,crowd size=no report,1731368109
IRN29372,2024-11-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Ilam,Ilam,Central,Ilam,33.6374,46.4227,1,Human Rights Activists in Iran (HRA); Iranian Labour News Agency,Local partner-Other,"On 5 November 2024, corporate workers of the Ilam Road Authority staged a rally in front of the Provincial Inspection Organization in Ilam city (Ilam) to protest against the reduction of salaries and benefits, non-contracting, non-receipt of claims and benefits.",0,crowd size=no report,1731368109
IRN29376,2024-11-05,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran); Teachers (Iran); Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Kermanshah,Kermanshah,Central,Kermanshah,34.3142,47.0650,1,Free Union of Iranian Workers; Human Rights Activists in Iran (HRA),Local partner-Other,"On 5 November 2024, retirees of the Social Security Organization, health workers, retired teachers and telecommunications workers protested in front of the Management and Planning Organization in Kermanshah city (Kermanshah) over the lack of salary equalization and poor living conditions.",0,crowd size=no report,1731368109
IRN29393,2024-11-05,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Iran (1989-) Islamic Republic of Iran Air Force,Military Forces of Pakistan (2022-),State forces,Army of Justice,,Rebel group,State forces-Rebel group,,364,Middle East,Iran,Sistan and Baluchestan,Saravan,Central,Saravan,27.3709,62.3310,2,Baloch Campaign; Haalvash; Iran International; Radio Farda,Other-International,"On 5 November 2024, Iranian military forces launched an airstrike at the Army of Justice's convoy in the Sabzkuh region near Saravan city (Sistan and Baluchestan). 12 militants were killed and four others were wounded. Local media claimed that this airstrike was a joint operation of Iranian and Pakistani military forces.",12,,1731368109
IRN29319,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Former Military Forces of Iran (1989-),Protesters,,,,Protesters only,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 6,35.7252,51.4029,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the military forces staged a rally outside the Retired Military Personnel Club in Tehran - District 6 (Tehran) to demand to amend the constitution of the club and increase the level of participation of retirees.",0,crowd size=no report,1731368108
IRN29326,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Yazd,Yazd,Central,Yazd,31.8972,54.3675,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, health workers and nurses staged a rally outside the Sadoughi Hospital in Yazd city (Yazd) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368108
IRN29328,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Zanjan,Zanjan,Central,Zanjan,36.6764,48.4963,1,Human Rights Activists in Iran (HRA); Iranian Labour News Agency,Local partner-Other,"On 4 November 2024, health workers and nurses staged a rally in Zanjan city (Zanjan) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29329,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Bushehr,Bushehr,Central,Bandar e Bushehr,28.9684,50.8385,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, health workers and nurses at the laboratory and radiology staged a rally in Bandar e Bushehr city (Bushehr) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29351,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,East Azerbaijan,Tabriz,Central,Tabriz,38.0800,46.2919,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Tabriz city (East Azerbaijan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29352,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Kermanshah,Kermanshah,Central,Kermanshah,34.3142,47.0650,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Kermanshah city (Kermanshah) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29353,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Ardabil,Ardabil,Central,Ardabil,38.2498,48.2933,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Ardabil city (Ardabil) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29354,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Hormozgan,Bandar-Abbas,Central,Bandar Abbas,27.1865,56.2808,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Bandar Abbas city (Hormozgan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29355,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 3,35.7661,51.4261,1,Free Union of Iranian Workers; Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retired Islamic Republic of Iran Broadcasting employees staged a rally in front of the Bilal Mosque in Tehran - District 3 (Tehran) over their demands not being met.",0,crowd size=no report,1731368109
IRN29356,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Khuzestan,Ahvaz,Central,Ahvaz,31.3190,48.6842,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Ahvaz city (Khuzestan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29357,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Fars,Shiraz,Central,Shiraz,29.6103,52.5311,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Shiraz city (Fars) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29358,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 5,35.7432,51.3079,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Tehran - District 5 (Tehran) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29359,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Isfahan,Isfahan,Central,Isfahan,32.6525,51.6746,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Isfahan city (Isfahan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29360,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Zanjan,Zanjan,Central,Zanjan,36.6764,48.4963,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Zanjan city (Zanjan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29361,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Kurdistan,Sannandaj,Central,Sanandaj,35.3150,46.9988,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Sanandaj city (Kurdistan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29362,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Hamadan,Hamadan,Central,Hamadan,34.7992,48.5146,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Hamadan city (Hamadan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29363,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Mazandaran,Sari,Central,Sari,36.5633,53.0601,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Sari city (Mazandaran) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29364,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Khuzestan,Dezful,Central,Dezful,32.3811,48.4058,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the county telecommunication company's central office in Dezful city (Khuzestan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29365,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Ilam,Ilam,Central,Ilam,33.6374,46.4227,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Ilam city (Ilam) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29366,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Kurdistan,Marivan,Central,Marivan,35.5183,46.1830,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the county telecommunication company's central office in Marivan city (Kurdistan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29367,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Gilan,Rasht,Central,Rasht,37.2761,49.5886,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Rasht city (Gilan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,crowd size=no report,1731368109
IRN29368,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Ilam,Ilam,Central,Ilam,33.6374,46.4227,1,Human Rights Activists in Iran (HRA); Iranian Labour News Agency,Local partner-Other,"On 4 November 2024, volumetric forces of Ilam Electricity Distribution Company staged a rally in front of the provincial governor's office in Ilam city (Ilam) over the lack of salary equalization and poor living conditions.",0,crowd size=no report,1731368109
IRN29373,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Isfahan,Isfahan,Central,Isfahan,32.6525,51.6746,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 4 November 2024, electric substation operators staged a rally in front of the Electricity Distribution Company in Isfahan city (Isfahan) over low salaries and unfair working shifts.",0,crowd size=no report,1731368109
IRN29374,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Kerman,Zarand,Central,Zarand,30.8127,56.5640,1,Eteraze Bazar,New media,"On 4 November 2024, cleaning workers at the Zarand Iranian Steel Company - ZISCO picketed outside their workplace in Zarand city (Kerman) over the non-payment of salaries.",0,crowd size=no report,1731368109
IRN29482,2024-11-04,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),,Protesters,,,,Protesters only,,364,Middle East,Iran,Zanjan,Zanjan,Central,Zanjan,36.6764,48.4963,1,Free Union of Iranian Workers; Human Rights Activists in Iran (HRA); Iranian Labour News Agency,Local partner-Other,"On 4 November 2024, applicants of the Vavan National Housing project held a protest outside the Social Security Organization in Zanjan city (Zanjan) to demand an end to the uncertainty of their contracts.",0,crowd size=no report,1731368109
IRN29324,2024-11-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Yazd,Yazd,Central,Yazd,31.8972,54.3675,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 3 November 2024, health workers and nurses staged a rally outside the Sadoughi Hospital in Yazd city (Yazd) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368108
IRN29325,2024-11-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Razavi Khorasan,Mashhad,Central,Mashhad,36.3156,59.5680,1,Human Rights Activists in Iran (HRA); Iranian Labour News Agency,Local partner-Other,"On 3 November 2024, health workers and nurses staged a rally outside the School of Medical Sciences in Mashhad city (Razavi Khorasan) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368108
IRN29344,2024-11-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Isfahan,Isfahan,Central,Isfahan,32.6525,51.6746,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 3 November 2024, retirees of Isfahan steel industries protested in front of the Steel Servants Pension Organization's office in Isfahan city (Isfahan) over the non-fulfillment of contract obligations and demanded a salary increase.",0,crowd size=no report,1731368109
IRN29345,2024-11-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Khuzestan,Ahvaz,Central,Ahvaz,31.3190,48.6842,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 3 November 2024, retirees of the Social Security Organization protested in front of the Social Security Organization in Ahvaz city (Khuzestan) over the lack of salary equalization and poor living conditions.",0,crowd size=no report,1731368109
IRN29346,2024-11-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 2,35.7512,51.3616,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 3 November 2024, retirees of the Social Security Organization protested in front of the Social Security Organization in Tehran - District 2 (Tehran) over the lack of salary equalization and poor living conditions.",0,crowd size=no report,1731368109
IRN29347,2024-11-03,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Khuzestan,Shush,Central,Shush,32.1942,48.2436,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 3 November 2024, retirees of the Social Security Organization protested in front of the county governor's office in Shush city (Khuzestan) over the lack of salary equalization and poor living conditions.",0,crowd size=no report,1731368109
